weather_id,weather_info,wind_speed,temperature,time
802,Clouds,7.72,6.03,2023-04-11 00
801,Clouds,7.2,5.91,2023-04-11 01
801,Clouds,7.72,5.91,2023-04-11 02
801,Clouds,7.72,5.99,2023-04-11 03
801,Clouds,6.69,5.83,2023-04-11 04
801,Clouds,6.69,5.73,2023-04-11 05
801,Clouds,6.17,6.13,2023-04-11 06
802,Clouds,6.69,6.21,2023-04-11 07
803,Clouds,5.66,7.74,2023-04-11 08
803,Clouds,5.66,9.14,2023-04-11 09
803,Clouds,5.66,9.23,2023-04-11 10
803,Clouds,5.66,10.08,2023-04-11 11
500,Rain,6.69,10.11,2023-04-11 12
300,Drizzle,7.72,10.56,2023-04-11 13
500,Rain,7.2,10.39,2023-04-11 14
500,Rain,7.2,10.33,2023-04-11 15
500,Rain,8.23,9.94,2023-04-11 16
502,Rain,3.09,9.66,2023-04-11 17
501,Rain,9.77,6.08,2023-04-11 18
500,Rain,11.32,5.93,2023-04-11 19
803,Clouds,11.32,5.46,2023-04-11 20
803,Clouds,9.77,5.44,2023-04-11 21
803,Clouds,7.72,4.42,2023-04-11 22
801,Clouds,5.14,4.18,2023-04-11 23
801,Clouds,7.72,3.88,2023-04-12 00
801,Clouds,6.17,3.91,2023-04-12 01
802,Clouds,9.77,3.66,2023-04-12 02
801,Clouds,9.26,3.46,2023-04-12 03
801,Clouds,9.77,3.35,2023-04-12 04
803,Clouds,9.77,3.56,2023-04-12 05
501,Rain,9.26,4.58,2023-04-12 06
500,Rain,6.17,4.34,2023-04-12 07
520,Rain,6.17,3.41,2023-04-12 08
803,Clouds,3.6,4.37,2023-04-12 09
803,Clouds,7.72,5.37,2023-04-12 10
803,Clouds,9.26,6.37,2023-04-12 11
803,Clouds,9.26,7.27,2023-04-12 12
500,Rain,8.23,7.6,2023-04-12 13
520,Rain,7.72,5.56,2023-04-12 14
520,Rain,6.17,5.95,2023-04-12 15
520,Rain,13.89,6.74,2023-04-12 16
520,Rain,12.35,6.83,2023-04-12 17
520,Rain,13.89,6.81,2023-04-12 18
520,Rain,9.26,7.25,2023-04-12 19
803,Clouds,10.8,7.0,2023-04-12 20
803,Clouds,10.8,6.48,2023-04-12 21
803,Clouds,10.29,6.48,2023-04-12 22
802,Clouds,8.23,6.48,2023-04-12 23
803,Clouds,8.75,5.91,2023-04-13 00
803,Clouds,8.23,5.5,2023-04-13 01
801,Clouds,7.72,5.48,2023-04-13 02
802,Clouds,7.72,4.97,2023-04-13 03
801,Clouds,6.71,4.83,2023-04-13 04
801,Clouds,6.71,4.39,2023-04-13 05
801,Clouds,7.2,4.44,2023-04-13 06
801,Clouds,6.71,4.74,2023-04-13 07
801,Clouds,8.23,5.98,2023-04-13 08
801,Clouds,8.75,7.88,2023-04-13 09
801,Clouds,9.26,9.4,2023-04-13 10
802,Clouds,9.77,10.55,2023-04-13 11
803,Clouds,11.32,11.04,2023-04-13 12
802,Clouds,10.29,11.86,2023-04-13 13
802,Clouds,9.77,11.12,2023-04-13 14
803,Clouds,8.23,9.57,2023-04-13 15
803,Clouds,6.69,12.35,2023-04-13 16
501,Rain,6.71,10.43,2023-04-13 17
